Source Path,Target Path,Priority,Evidence
/reviews/zakat-calculator,/finance-tools/zakat-calculator,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/smart-home/how-to-clean-washing-machine,/how-to-guides/how-to-clean-washing-machine,P0,Current production path takes 2 redirects before a 200.
/how-to-guides/samsung-galaxy-s26-ultra-specs-uae-price,/smartphones/samsung-galaxy-s26-ultra-specs-uae-price,P0,Former howTo URL redirects to the canonical Smartphones buyerGuide URL after the Sanity content-type migration.
/tech/asus-vivobook-go-15-e1504fa,/reviews/asus-vivobook-go-15-e1504fa,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/best-noise-cancelling-headphones-uae,/top-ten/best-noise-cancelling-headphones-uae,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/deepseek-ai-revolutionary-data-retrieval-method,/how-to-guides/how-to-use-deepseek-ai-data-extraction-analysis,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/deepseek-ai-startup-disrupting-big-tech-with-innovation,/how-to-guides/how-to-use-deepseek-ai-data-extraction-analysis,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/hp-14-n150-16gb-student,/reviews/hp-14-n150-16gb-student,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/hp-stream-14-n150,/reviews/hp-stream-14-n150,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/lenovo-slim-3-chromebook-14,/reviews/lenovo-slim-3-chromebook-14,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/quantum-computing-strategy-uae-2026,/how-to-guides/quantum-computing-strategy-uae-2026,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/tech/samsung-galaxy-s26-ultra-specs-uae-price,/smartphones/samsung-galaxy-s26-ultra-specs-uae-price,P0,Legacy Tech URL now redirects directly to the canonical Smartphones buyerGuide URL.
/tech/state-of-ai-december-2025-uae-report,/how-to-guides/state-of-ai-december-2025-uae-report,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/apple-macbook-air-m2-2022,/reviews/apple-macbook-air-m2-2022,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/best-air-fryers-uae,/top-ten/best-air-fryers-uae-2026,P0,Explicit replacement supplied and destination is 200/self-canonical/in sitemap.
/top-ten/braun-pocketgo-m90-mobile-shaver,/reviews/braun-pocketgo-m90-mobile-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/braun-series-5-51-b1000s-shaver,/reviews/braun-series-5-51-b1000s-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/braun-series-9-pro-plus-shaver,/reviews/braun-series-9-pro-plus-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/kemei-2299-professional-trimmer,/reviews/kemei-2299-professional-trimmer,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/kenwood-air-fryer-grill-xl,/reviews/kenwood-air-fryer-grill-xl,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/microsoft-surface-laptop,/reviews/microsoft-surface-laptop,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/nutricook-air-fryer-slim-xl,/reviews/nutricook-air-fryer-slim-xl,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/panasonic-es-sa40-pro-curve-shaver,/reviews/panasonic-es-sa40-pro-curve-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/philips-norelco-9000-prestige,/reviews/philips-norelco-9000-prestige,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/philips-shaver-series-1000-s1151,/reviews/philips-shaver-series-1000-s1151,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/pritech-3-in-1-grooming-set-shaver,/reviews/pritech-3-in-1-grooming-set-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/quantum-computing-guide-uae,/how-to-guides/quantum-computing-guide-uae,P0,"Exact live slug exists as a howTo, returns 200, and is in sitemap."
/top-ten/quantum-computing-strategy-uae-2026,/how-to-guides/quantum-computing-strategy-uae-2026,P0,"Exact live slug exists as a howTo, returns 200, and is in sitemap."
/top-ten/remington-f5-5800-foil-shaver,/reviews/remington-f5-5800-foil-shaver,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/skull-shaver-pitbull-gold-pro,/reviews/skull-shaver-pitbull-gold-pro,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/soundcore-p30i-noise-cancelling-earbuds,/reviews/soundcore-p30i-noise-cancelling-earbuds,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/ugreen-clipbuds-open-earbuds,/reviews/ugreen-clipbuds-open-earbuds,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/wahl-travel-shaver-3615-1027,/reviews/wahl-travel-shaver-3615-1027,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/top-ten/xiaomi-redmi-buds-6-play-earbuds,/reviews/xiaomi-redmi-buds-6-play-earbuds,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
/travel-tourism/world-safest-airlines-2026,/top-ten/world-safest-airlines-2026,P0,Current production path takes 2 redirects before a 200.
/upcoming/samsung-galaxy-s26-ultra-specs-uae-price,/smartphones/samsung-galaxy-s26-ultra-specs-uae-price,P0,Legacy Upcoming URL now redirects directly to the canonical Smartphones buyerGuide URL.
/where-to-donate-used-toys-uae,/how-to-guides/where-to-donate-used-toys-uae,P0,Current production path takes 2 redirects before a 200.
/zakat-calculator,/finance-tools/zakat-calculator,P1,One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected.
